,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              22,              8,              7,              8,              n.v.t.
3,februari,              22,              8,              7,              19,              n.v.t.
4,maart,              22,              8,              8,              6,              n.v.t.
5,april,              23,              7,              9,              2,              n.v.t.
6,mei,              22,              6,              9,              0,              n.v.t.
7,juni,              22,              5,              10,              0,              n.v.t.
8,juli,              22,              4,              10,              0,              n.v.t.
9,augustus,              22,              5,              10,              0,              n.v.t.
10,september,              22,              6,              10,              2,              n.v.t.
11,oktober,              22,              6,              10,              3,              n.v.t.
12,november,              23,              6,              10,              3,              n.v.t.
13,december,              23,              7,              9,              6,              n.v.t.
