,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              33,              23,              9,              9,              n.v.t.
3,februari,              33,              22,              9,              7,              n.v.t.
4,maart,              32,              21,              8,              7,              n.v.t.
5,april,              28,              19,              8,              8,              n.v.t.
6,mei,              25,              16,              7,              6,              n.v.t.
7,juni,              23,              14,              6,              6,              n.v.t.
8,juli,              23,              14,              6,              5,              n.v.t.
9,augustus,              24,              14,              7,              5,              n.v.t.
10,september,              26,              16,              7,              7,              n.v.t.
11,oktober,              29,              18,              8,              8,              n.v.t.
12,november,              31,              20,              9,              9,              n.v.t.
13,december,              32,              22,              9,              8,              n.v.t.
