,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              23,              13,              6,              17,              n.v.t.
3,februari,              23,              12,              5,              13,              n.v.t.
4,maart,              23,              12,              5,              12,              n.v.t.
5,april,              25,              10,              6,              5,              n.v.t.
6,mei,              24,              6,              8,              2,              n.v.t.
7,juni,              23,              3,              9,              1,              n.v.t.
8,juli,              23,              3,              9,              1,              n.v.t.
9,augustus,              24,              6,              8,              2,              n.v.t.
10,september,              25,              9,              7,              5,              n.v.t.
11,oktober,              26,              11,              6,              6,              n.v.t.
12,november,              26,              12,              6,              8,              n.v.t.
13,december,              25,              13,              6,              13,              n.v.t.
