,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              31,              18,              9,              11,              n.v.t.
3,februari,              30,              17,              8,              9,              n.v.t.
4,maart,              27,              15,              7,              10,              n.v.t.
5,april,              25,              12,              7,              7,              n.v.t.
6,mei,              22,              9,              6,              4,              n.v.t.
7,juni,              18,              5,              5,              3,              n.v.t.
8,juli,              18,              5,              6,              3,              n.v.t.
9,augustus,              21,              6,              7,              3,              n.v.t.
10,september,              23,              9,              7,              4,              n.v.t.
11,oktober,              26,              12,              8,              7,              n.v.t.
12,november,              28,              15,              9,              9,              n.v.t.
13,december,              30,              17,              9,              11,              n.v.t.
