,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              18,              1,              7,              2,              n.v.t.
3,februari,              20,              2,              9,              2,              n.v.t.
4,maart,              23,              5,              9,              1,              n.v.t.
5,april,              27,              9,              9,              1,              n.v.t.
6,mei,              31,              13,              10,              2,              n.v.t.
7,juni,              33,              17,              10,              5,              n.v.t.
8,juli,              31,              18,              9,              12,              n.v.t.
9,augustus,              30,              17,              8,              13,              n.v.t.
10,september,              28,              14,              7,              7,              n.v.t.
11,oktober,              26,              9,              8,              4,              n.v.t.
12,november,              22,              4,              8,              2,              n.v.t.
13,december,              18,              1,              7,              3,              n.v.t.
