,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              29,              17,              7,              4,              n.v.t.
3,februari,              30,              18,              7,              3,              n.v.t.
4,maart,              33,              20,              8,              2,              n.v.t.
5,april,              35,              21,              8,              2,              n.v.t.
6,mei,              36,              23,              9,              5,              n.v.t.
7,juni,              35,              23,              8,              10,              n.v.t.
8,juli,              34,              23,              8,              12,              n.v.t.
9,augustus,              34,              23,              8,              12,              n.v.t.
10,september,              33,              23,              7,              13,              n.v.t.
11,oktober,              31,              21,              7,              9,              n.v.t.
12,november,              30,              19,              7,              4,              n.v.t.
13,december,              29,              18,              6,              4,              n.v.t.
