,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              20,              7,              9,              3,              n.v.t.
3,februari,              24,              8,              10,              2,              n.v.t.
4,maart,              26,              10,              11,              3,              n.v.t.
5,april,              30,              14,              12,              2,              n.v.t.
6,mei,              35,              18,              13,              1,              n.v.t.
7,juni,              40,              22,              14,              0,              n.v.t.
8,juli,              42,              27,              13,              2,              n.v.t.
9,augustus,              41,              26,              12,              2,              n.v.t.
10,september,              38,              23,              11,              1,              n.v.t.
11,oktober,              33,              17,              10,              2,              n.v.t.
12,november,              25,              11,              9,              2,              n.v.t.
13,december,              20,              7,              8,              3,              n.v.t.
