,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              28,              17,              9,              10,              22
3,februari,              28,              16,              8,              10,              22
4,maart,              26,              15,              8,              10,              22
5,april,              22,              12,              6,              8,              19
6,mei,              18,              9,              5,              9,              16
7,juni,              15,              6,              5,              9,              12
8,juli,              14,              6,              5,              10,              10
9,augustus,              15,              6,              5,              9,              10
10,september,              17,              8,              7,              9,              11
11,oktober,              20,              9,              8,              10,              14
12,november,              23,              12,              8,              11,              17
13,december,              26,              15,              9,              10,              20
