,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              26,              7,              7,              2,              n.v.t.
3,februari,              27,              8,              8,              2,              n.v.t.
4,maart,              29,              10,              7,              2,              n.v.t.
5,april,              30,              12,              5,              4,              n.v.t.
6,mei,              30,              13,              5,              8,              n.v.t.
7,juni,              27,              14,              5,              14,              n.v.t.
8,juli,              26,              13,              5,              12,              n.v.t.
9,augustus,              27,              13,              5,              12,              n.v.t.
10,september,              26,              13,              4,              13,              n.v.t.
11,oktober,              26,              11,              5,              7,              n.v.t.
12,november,              26,              9,              6,              3,              n.v.t.
13,december,              26,              7,              6,              2,              n.v.t.
