,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              22,              6,              7,              2,              n.v.t.
3,februari,              23,              7,              8,              1,              n.v.t.
4,maart,              25,              9,              8,              2,              n.v.t.
5,april,              27,              11,              7,              4,              n.v.t.
6,mei,              26,              12,              7,              11,              n.v.t.
7,juni,              25,              13,              6,              16,              n.v.t.
8,juli,              24,              12,              6,              18,              n.v.t.
9,augustus,              24,              12,              6,              18,              n.v.t.
10,september,              23,              12,              5,              16,              n.v.t.
11,oktober,              23,              10,              7,              8,              n.v.t.
12,november,              23,              8,              7,              3,              n.v.t.
13,december,              22,              6,              7,              2,              n.v.t.
