,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              28,              18,              6,              11,              27
3,februari,              29,              19,              7,              8,              27
4,maart,              30,              21,              8,              5,              27
5,april,              31,              22,              8,              5,              27
6,mei,              32,              23,              8,              8,              28
7,juni,              31,              23,              7,              16,              28
8,juli,              31,              23,              7,              16,              29
9,augustus,              32,              23,              7,              16,              29
10,september,              31,              23,              6,              18,              29
11,oktober,              30,              22,              6,              17,              29
12,november,              29,              20,              6,              12,              28
13,december,              28,              18,              6,              12,              27
