,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              22,              3,              6,              1,              n.v.t.
3,februari,              24,              5,              7,              1,              n.v.t.
4,maart,              26,              7,              7,              1,              n.v.t.
5,april,              27,              9,              7,              5,              n.v.t.
6,mei,              28,              10,              6,              12,              n.v.t.
7,juni,              26,              13,              5,              17,              n.v.t.
8,juli,              24,              12,              5,              24,              n.v.t.
9,augustus,              24,              11,              5,              22,              n.v.t.
10,september,              23,              11,              4,              18,              n.v.t.
11,oktober,              23,              9,              5,              10,              n.v.t.
12,november,              23,              6,              6,              4,              n.v.t.
13,december,              22,              4,              5,              2,              n.v.t.
