,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              21,              3,              5,              19,              n.v.t.
3,februari,              20,              4,              5,              19,              n.v.t.
4,maart,              20,              4,              4,              21,              n.v.t.
5,april,              20,              4,              4,              22,              n.v.t.
6,mei,              20,              4,              5,              18,              n.v.t.
7,juni,              20,              3,              5,              11,              n.v.t.
8,juli,              20,              3,              6,              7,              n.v.t.
9,augustus,              21,              2,              6,              8,              n.v.t.
10,september,              21,              3,              5,              13,              n.v.t.
11,oktober,              21,              3,              5,              18,              n.v.t.
12,november,              21,              3,              5,              17,              n.v.t.
13,december,              21,              3,              5,              17,              n.v.t.
