,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              23,              6,              6,              2,              n.v.t.
3,februari,              25,              7,              7,              2,              n.v.t.
4,maart,              28,              10,              7,              2,              n.v.t.
5,april,              30,              12,              6,              2,              n.v.t.
6,mei,              31,              14,              6,              5,              n.v.t.
7,juni,              29,              15,              5,              11,              n.v.t.
8,juli,              27,              14,              5,              14,              n.v.t.
9,augustus,              27,              14,              6,              14,              n.v.t.
10,september,              27,              14,              5,              11,              n.v.t.
11,oktober,              26,              11,              6,              6,              n.v.t.
12,november,              25,              8,              7,              2,              n.v.t.
13,december,              24,              7,              6,              2,              n.v.t.
