,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,              31,              24,              7,              8,              28
3,februari,              32,              25,              7,              4,              28
4,maart,              33,              25,              7,              5,              29
5,april,              33,              25,              7,              7,              29
6,mei,              31,              25,              7,              18,              29
7,juni,              31,              25,              7,              21,              29
8,juli,              30,              24,              6,              22,              29
9,augustus,              30,              23,              6,              23,              29
10,september,              30,              23,              6,              21,              29
11,oktober,              30,              24,              6,              22,              28
12,november,              30,              24,              6,              18,              28
13,december,              30,              24,              6,              14,              28
