,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp
2,januari,26,14,11,2,              n.v.t.
3,februari,25,14,10,2,              n.v.t.
4,maart,23,12,9,2,              n.v.t.
5,april,19,9,7,3,              n.v.t.
6,mei,16,6,4,4,              n.v.t.
7,juni,13,4,4,6,              n.v.t.
8,juli,13,3,4,7,              n.v.t.
9,augustus,14,4,5,7,              n.v.t.
10,september,16,5,6,5,              n.v.t.
11,oktober,20,9,7,4,              n.v.t.
12,november,23,11,9,3,              n.v.t.
13,december,25,13,10,2,              n.v.t.
