,Avg max temp,Avg min temp,Hours of sun,Rain days per month,Housing,Cost of Living,Startups,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors
Avg max temp,1.0,0.8432740427115677,0.09759000729485337,-0.025000000000000053,-0.2424650939137528,0.3112294742131139,0.029872344758601142,-0.20653426846601158,-0.11186506248328133,-0.21836033632078905,-0.06901901602265184,-0.2247474737932347,-0.4079486710479149,-0.33195980264805475,0.1238210694068094,-0.12767147767541842,0.1710556103586996,-0.6127676719471188,0.00351979326224505
Avg min temp,0.8432740427115677,1.0,0.28288947493050176,0.18446619684315554,-0.21655297082227512,0.24559913702068584,0.11395548550347179,0.21751476014906765,-0.125382478304241,-0.24703702628356936,-0.10151949197163124,-0.09484479426812864,-0.37714238383291276,-0.39533346809162007,-0.04171189263953993,-0.3151901649497734,0.31553868722216183,-0.531420626131777,-0.06363737179442358
Hours of sun,0.09759000729485337,0.28288947493050176,1.0,0.8539125638299664,-0.35107851458670974,-0.1550540150327757,-0.14068786651854973,0.25535847092138864,0.36411386520650213,0.12559092676587988,-0.11950511499992829,0.28900644606693054,-0.2618876073873645,0.04817079402037887,0.3851580981807508,-0.8579511576752252,-0.06759235379007551,-0.15077737464924573,-0.3158177254827189
Rain days per month,-0.025000000000000053,0.18446619684315554,0.8539125638299664,1.0,-0.45418407418410284,-0.14043564727589053,-0.028614326751074774,0.3582107101275064,0.2903350591906492,0.2410783496118714,0.06524589908280967,0.2963487416377589,-0.2336255228500208,0.20001161281369473,0.4754280723240055,-0.8238961820731322,-0.20078351861798202,-0.1320673532664221,-0.3053647445800688
Housing,-0.2424650939137528,-0.21655297082227512,-0.35107851458670974,-0.45418407418410284,1.0,-0.2155074494717462,-0.04273183266744414,-0.10792631726412397,0.3648147702159403,0.28632067269177264,0.4632026459296939,0.33545655730661716,0.6187238405824685,0.3181426881739801,-0.05873942627911611,0.36787888074831887,0.27629227128563083,0.6585687622995984,0.0012132149169361672
Cost of Living,0.3112294742131139,0.24559913702068584,-0.1550540150327757,-0.14043564727589053,-0.2155074494717462,1.0,-0.14411536930852428,-0.2937640276079433,-0.2570452246792127,-0.46081852481183505,0.10856195800474877,-0.7413833676507685,-0.03141440460433729,-0.05594102867705611,-0.17426383674283347,0.16918890264282418,-0.310312260459577,-0.3793431117472596,-0.3063613576563909
Startups,0.029872344758601142,0.11395548550347179,-0.14068786651854973,-0.028614326751074774,-0.04273183266744414,-0.14411536930852428,1.0,0.6884017560749932,0.039486844634764096,0.40448272680721464,-0.08090670381915283,0.3556353722052636,-0.2029512383369094,0.16066752332016598,-0.11974627808973869,-0.020993831059866328,0.554592217794838,-0.03426848984535433,0.48902313919186474
Travel Connectivity,-0.20653426846601158,0.21751476014906765,0.25535847092138864,0.3582107101275064,-0.10792631726412397,-0.2937640276079433,0.6884017560749932,1.0,0.00630006522800369,0.22096215985800696,-0.1761679559741042,0.47094492366455437,-0.1745457167571847,-0.04975302915195646,-0.17468587472376218,-0.3977073858119998,0.5089958591059395,0.009850312752970967,0.31129058657001174
Commute,-0.11186506248328133,-0.125382478304241,0.36411386520650213,0.2903350591906492,0.3648147702159403,-0.2570452246792127,0.039486844634764096,0.00630006522800369,1.0,0.7706672080089155,0.6038169319354154,0.706513563937652,0.5258292617267648,0.6275059080257867,0.2894285780426607,-0.1877394448073143,-0.18290325734619126,0.5698713602244138,-0.2826394435129397
Business Freedom,-0.21836033632078905,-0.24703702628356936,0.12559092676587988,0.2410783496118714,0.28632067269177264,-0.46081852481183505,0.40448272680721464,0.22096215985800696,0.7706672080089155,1.0,0.464192645934677,0.6994823091694706,0.2559343182646589,0.7616787668739572,0.17267607032467375,-0.09843514660304965,-0.03970306342833896,0.5846215894952257,0.19952822395193823
