name,pop,lat,lon,mean
Curitiba,82.56133333,-25.480877,-49.304424,5.7
Quito,86.87483333,-0.180653,-78.467834,4.86
Caracas,89.20708333,10.480594,-66.903603,5.46
Florianopolis,90.27291667,-27.59487,-48.548222,4.7
Bogota,92.39566667,4.710989,-74.07209,4.35
Rio de Janeiro,92.55333333,-22.906847,-43.172897,4.75
Sao Paulo,96.82283333,-23.55052,-46.633308,5.45
Porto Alegre,97.10741667,-30.034647,-51.217659,5.25
Montevideo,99.79916667,-34.901112,-56.164532,5.11
Medellin,103.48325,6.244203,-75.581215,4.57
Buenos Aires,103.7755,-34.603683,-58.381557,4.87
Asuncion,108.3605833,-25.263741,-57.575928,6.44
Santiago,122.3066667,-33.448891,-70.669266,5.1
