name,pop,lat,lon
Curitiba,8256133.333,-25.4809,-49.3044
Quito,8687483.333,-0.1807,-78.4678
Caracas,8920708.333,-10.4806,-66.9036
Florianopolis,9027291.667,-27.5949,-48.5482
Bogota,9239566.667,-4.711,-74.0721
Rio de Janeiro,9255333.333,-22.9068,-43.1729
Sao Paulo,9682283.333,-23.5505,-46.6333
Porto Alegre,9710741.667,-30.0346,-51.2177
Montevideo,9979916.667,-34.9011,-56.1645
Medellin,10348325,-6.2486,-75.5742
Buenos Aires,10377550,-34.6037,-58.3816
Asuncion,10836058.33,-25.2637,-57.5759
Santiago,12230666.67,-33.4489,-70.6693
