,Categories,Asuncion,Bogota,Buenos Aires,Caracas,Curitiba,Florianopolis,Medellin,Montevideo,Porto Alegre,Quito,Rio de Janeiro,Santiago,Sao Paulo
0,avg_max_temp,8.0,2.0,2.0,8.0,2.0,8.0,8.0,2.0,8.0,2.0,8.0,8.0,8.0
1,avg_min_temp,8.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,2.0,8.0,8.0,8.0
2,hours_of_sun,8.0,2.0,8.0,8.0,2.0,2.0,2.0,8.0,8.0,2.0,2.0,8.0,2.0
3,rain_days_per_month,8.0,2.0,8.0,8.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,8.0,2.0
0,Housing,9.2265,9.0275,8.812000000000003,4.9025,9.4295,9.0595,9.2315,8.183000000000002,9.221000000000002,9.0165,8.32,8.3815,8.316
1,Cost of Living,9.295000000000002,9.079999999999998,7.7639999999999985,9.82,8.433,8.331000000000001,9.315,6.197,8.120000000000001,7.822,7.751,7.237,7.823000000000001
2,Startups,2.207,5.7085,4.672999999999999,3.0535,2.912,1.0,4.618,2.863,2.6705,2.8575000000000013,4.823,6.2305,6.6225000000000005
3,Travel Connectivity,0.645,1.889,3.77,1.3235,0.8900000000000001,0.6829999999999999,0.9279999999999999,1.183,0.9655,0.8900000000000001,1.493,2.5355,2.2655
4,Commute,4.968750000000001,4.964,4.9235,4.544250000000001,4.950250000000001,4.78775,5.3545,5.2879999999999985,5.105,4.789250000000001,4.55325,5.5509999999999975,4.412000000000001
5,Business Freedom,3.684,6.348666666666665,4.045333333333334,1.0,2.781,2.781,6.348666666666665,7.943999999999997,2.781,3.021333333333333,4.036666666666666,7.765,2.781
6,Safety,6.9345,6.222000000000001,6.0395,5.221,5.9465,6.525,7.477,5.9735000000000005,5.2955,6.968999999999999,5.2955,6.9645,5.2955
7,Healthcare,4.891333333333333,5.138999999999999,6.1066666666666665,4.241333333333333,5.579333333333333,5.218666666666668,5.452333333333333,6.3646666666666665,5.499666666666666,5.324,4.996666666666666,7.2316666666666665,5.4623333333333335
8,Environmental Quality,3.969,4.3475,4.869,2.2725,7.75725,4.943999999999999,6.17075,4.545,4.13975,4.1762500000000005,3.32275,4.5280000000000005,2.6535
9,Economy,4.109,4.5945,2.884,1.978,2.187,2.187,4.5945,4.416,2.187,3.8855,2.187,3.725,2.187
10,Taxation,8.423499999999999,1.8515000000000004,1.568,4.1800000000000015,2.8525,2.8525,1.8515000000000004,4.8285,2.8525,7.5139999999999985,2.8454999999999995,8.929499999999997,2.8525
11,Internet Access,1.479,2.9760000000000004,1.5275,1.6415000000000002,3.1420000000000003,3.185,4.1485,2.1785,2.196,3.4815,2.338,1.0,3.3895000000000004
12,Leisure & Culture,5.991999999999999,6.215,7.6735,4.38,7.1875,5.33,5.029,4.9465,7.7035,4.8015,8.6675,7.556000000000001,8.789499999999999
13,Tolerance,7.051499999999999,8.555499999999999,8.584000000000001,4.5505,7.848000000000001,7.637500000000001,9.302,9.71,7.447999999999999,8.826499999999998,5.771500000000001,7.171500000000001,6.8955
14,Outdoors,3.4845000000000006,7.477,4.535500000000001,4.0985,2.6655,5.751,3.662,5.1785,4.922499999999999,5.499999999999999,6.151999999999999,5.499999999999999,7.0775
