,Unnamed: 0,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp,City
0,2,januari,28,17,9,10,22,Montevideo
2,4,maart,26,19,7,3,22,Lima
3,5,april,23,7,9,2,              n.v.t.,Arequipa
4,6,mei,25,16,7,6,              n.v.t.,Asuncion
1,3,februari,27,8,8,2,              n.v.t.,Oaxaca
2,4,maart,25,9,8,2,              n.v.t.,Puebla
3,5,april,27,9,9,1,              n.v.t.,Hermosillo
3,5,april,31,22,8,5,27,Puerto Vallarta
3,5,april,30,14,12,2,              n.v.t.,Mexicali
1,3,februari,30,18,7,3,              n.v.t.,Merida
2,4,maart,28,10,7,2,              n.v.t.,San Miguel de Allende
2,4,maart,26,7,7,1,              n.v.t.,Queretaro
