,Avg max temp,Avg min temp,Hours of sun,Rain days per month,Housing,Cost of Living,Startups,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors
Asuncion,8.0,8.0,8.0,8.0,9.2265,9.295000000000002,2.207,0.645,4.968750000000001,3.6839999999999997,6.9345,4.891333333333333,3.969,4.109,8.423499999999999,1.479,5.991999999999999,7.051499999999999,3.4845000000000006
Bogota,2.0,2.0,2.0,2.0,9.0275,9.079999999999998,5.7085,1.889,4.9639999999999995,6.348666666666665,6.222000000000001,5.1389999999999985,4.3475,4.5945,1.8515000000000004,2.9760000000000004,6.215,8.555499999999999,7.477
Buenos Aires,2.0,8.0,8.0,8.0,8.812000000000003,7.7639999999999985,4.672999999999999,3.77,4.9235,4.045333333333334,6.0395,6.1066666666666665,4.869,2.884,1.568,1.5275,7.6735,8.584000000000001,4.535500000000001
Caracas,8.0,8.0,8.0,8.0,4.9025,9.82,3.0535,1.3235,4.544250000000001,1.0,5.221,4.241333333333333,2.2725,1.9780000000000002,4.1800000000000015,1.6415000000000002,4.38,4.5505,4.0985
Curitiba,2.0,2.0,2.0,2.0,9.4295,8.433,2.912,0.8900000000000001,4.950250000000001,2.781,5.9465,5.579333333333333,7.75725,2.187,2.8525,3.1420000000000003,7.1875,7.848000000000001,2.6655
Florianopolis,8.0,8.0,2.0,2.0,9.0595,8.331000000000001,1.0,0.6829999999999999,4.78775,2.781,6.525,5.218666666666668,4.943999999999999,2.187,2.8525,3.185,5.33,7.637500000000001,5.751
Medellin,8.0,8.0,2.0,2.0,9.2315,9.315,4.618,0.928,5.3545,6.348666666666665,7.477,5.452333333333333,6.17075,4.5945,1.8515000000000004,4.1485,5.029,9.302,3.662
Montevideo,2.0,2.0,8.0,8.0,8.183000000000002,6.197,2.863,1.183,5.287999999999999,7.943999999999997,5.9735000000000005,6.3646666666666665,4.545,4.416,4.8285,2.1785,4.9465,9.71,5.1785
Porto Alegre,8.0,8.0,8.0,2.0,9.221000000000002,8.120000000000001,2.6705,0.9655,5.105,2.781,5.2955,5.499666666666666,4.13975,2.187,2.8525,2.1959999999999997,7.7035,7.447999999999999,4.9224999999999985
Quito,2.0,2.0,2.0,2.0,9.0165,7.822,2.8575000000000013,0.8900000000000001,4.789250000000001,3.021333333333333,6.9689999999999985,5.324,4.1762500000000005,3.8855,7.5139999999999985,3.4815,4.8015,8.826499999999998,5.499999999999999
Rio de Janeiro,8.0,8.0,2.0,2.0,8.32,7.751,4.823,1.493,4.55325,4.036666666666666,5.2955,4.996666666666666,3.32275,2.187,2.8454999999999995,2.338,8.6675,5.771500000000001,6.151999999999999
Santiago,8.0,8.0,8.0,8.0,8.3815,7.237,6.2305,2.5355,5.5509999999999975,7.765,6.9645,7.231666666666666,4.5280000000000005,3.725,8.929499999999997,1.0,7.556000000000001,7.171500000000001,5.499999999999999
Sao Paulo,8.0,8.0,2.0,2.0,8.316,7.823000000000001,6.6225000000000005,2.2655,4.412000000000001,2.781,5.2955,5.4623333333333335,2.6535,2.187,2.8525,3.3895000000000004,8.789499999999999,6.8955,7.0775
